ORF	hap a | growth (spot assay) | sodium arsenite [0.5 mM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1 mM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1.5 mM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [0.5 mM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1 mM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1.5 mM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [75 uM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [100 uM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [150 uM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [75 uM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [100 uM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [150 uM], time [48 h] | Thorsen M~Tamas MJ, 2009
YER097W	0.000	0.000	0.000	0.000	0.000	0.000	-0.231	-0.576	-0.158	0.228	-0.001	0.083
YER098W	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.488	0.288	0.078	0.312	-0.209
YER101C	0.000	0.000	0.000	0.000	0.000	0.000	-0.430	-1.047	-0.249	-0.136	-0.109	-0.515
YER103W	0.000	0.000	0.000	0.000	0.000	0.000	0.096	0.333	-0.158	-0.027	-0.181	-0.136
YER106W	0.000	0.000	0.000	0.000	0.000	0.000	-0.209	-0.408	-0.241	-0.061	-0.237	-0.644
YER108C	0.000	0.000	0.000	0.000	0.000	0.000	-0.344	-1.037	-0.514	-0.235	-0.360	-0.236
YER109C	0.000	0.000	0.000	0.000	0.000	0.000	1.380	0.681	0.654	0.042	0.801	0.670
YER110C	0.000	0.000	0.000	0.000	0.000	0.000	0.510	0.561	1.517	1.723	2.124	1.189
YER111C	0.000	0.000	0.000	0.000	0.000	0.000	1.475	1.577	0.320	0.626	0.682	1.357
YER113C	0.000	0.000	0.000	0.000	0.000	0.000	1.545	-0.076	0.427	1.395	2.805	1.018
YER114C	0.000	0.000	0.000	0.000	0.000	0.000	1.619	0.630	-0.159	0.218	0.179	0.035
YER115C	0.000	0.000	0.000	0.000	0.000	0.000	-0.244	-0.818	1.428	-0.144	-0.356	1.307
YER116C	1.263	1.263	1.263	1.263	1.263	1.263	0.113	0.108	1.178	0.165	-0.126	0.289
YER117W	0.000	0.000	0.000	0.000	0.000	0.000	-0.261	-0.064	-0.060	-0.256	0.180	-0.608
YER118C	0.000	0.000	0.000	0.000	0.000	0.000	-0.287	-0.339	0.078	-0.180	-0.015	-0.069
YER119C	0.000	0.000	0.000	0.000	0.000	0.000	-0.288	-0.137	0.124	-0.054	-0.101	-0.739
YER119C-A	0.000	0.000	0.000	0.000	0.000	0.000	-0.175	-0.419	0.146	-0.211	-0.181	-0.211
YER120W	0.000	0.000	0.000	0.000	0.000	0.000	-0.699	-0.734	-0.483	-0.063	-0.204	-0.308
YER121W	0.000	0.000	0.000	0.000	0.000	0.000	1.146	1.461	-0.168	-0.031	0.572	0.847
YER122C	0.000	0.000	0.000	0.000	0.000	0.000	1.144	0.936	1.686	1.439	1.424	2.030
YER123W	0.000	0.000	0.000	0.000	0.000	0.000	0.368	0.396	0.081	0.285	-0.749	0.302
YER124C	0.000	0.000	0.000	0.000	0.000	0.000	1.254	0.591	0.598	-0.025	0.511	0.915
YER128W	0.000	0.000	0.000	0.000	0.000	0.000	-0.375	-0.980	0.063	-0.312	-0.386	1.370
YER129W	0.000	0.000	0.000	0.000	0.000	0.000	-0.522	-0.382	0.293	-0.365	-0.398	0.931
YER130C	0.000	0.000	0.000	0.000	0.000	0.000	-0.008	-0.099	0.090	-0.098	-0.118	-0.168
YER131W	0.000	0.000	0.000	0.000	0.000	0.000	-0.631	-0.352	-0.257	-0.478	-0.406	-0.760
YER132C	0.000	0.000	0.000	0.000	0.000	0.000	-0.162	-0.387	-0.152	-0.248	-0.418	-1.110
YER134C	0.000	0.000	0.000	0.000	0.000	0.000	-0.473	-0.336	-0.311	-0.390	-0.652	-0.666
YER135C	0.000	0.000	0.000	0.000	0.000	0.000	0.237	0.058	0.127	0.335	0.096	-0.577
YER137C	0.000	0.000	0.000	0.000	0.000	0.000	-0.234	-0.189	0.161	0.025	-0.224	-0.896
YER139C	0.000	0.000	0.000	0.000	0.000	0.000	-0.188	0.366	-0.170	-0.087	0.258	-0.214
YER140W	0.000	0.000	0.000	0.000	0.000	0.000	1.616	0.371	0.240	0.348	0.658	1.896
YER141W	0.678	0.678	0.678	0.678	0.678	0.678	1.763	0.700	0.238	0.454	0.418	1.509
YER142C	0.000	0.000	0.000	0.000	0.000	0.000	-0.471	-0.643	0.534	-0.141	-0.214	0.015
YER143W	0.000	0.000	0.000	0.000	0.000	0.000	-0.239	-0.780	0.782	-0.153	-0.147	-0.500
YER144C	0.000	0.000	0.000	0.000	0.000	0.000	-0.234	-0.205	-0.070	-0.081	-0.279	-0.395
YER145C	0.000	0.000	0.000	0.000	0.000	0.000	-0.072	0.818	0.636	0.223	0.200	-0.269
YER149C	0.000	0.000	0.000	0.000	0.000	0.000	-0.256	-0.373	-0.524	-0.202	-0.250	-0.827
YER150W	0.000	0.000	0.000	0.000	0.000	0.000	-0.254	-0.357	-0.222	-0.007	-0.161	-0.643
YER151C	1.807	1.807	1.807	1.807	1.807	1.807	0.166	0.301	-0.137	0.205	0.627	-0.049
YER152C	0.000	0.000	0.000	0.000	0.000	0.000	-0.157	0.193	-0.183	0.004	-0.069	-0.836
YER153C	0.000	0.000	0.000	0.000	0.000	0.000	0.562	0.312	-0.145	0.250	0.459	-0.294
YER154W	0.000	0.000	0.000	0.000	0.000	0.000	0.693	0.566	0.001	0.650	0.595	-0.060
YER155C	0.000	0.000	0.000	0.000	0.000	0.000	1.741	0.759	0.954	0.073	0.409	0.190
YER156C	0.000	0.000	0.000	0.000	0.000	0.000	0.265	2.101	0.538	0.167	0.441	0.540
YER158C	0.000	0.000	0.000	0.000	0.000	0.000	0.530	2.378	2.345	0.106	0.652	1.357
YER161C	0.000	0.000	0.000	0.000	0.000	0.000	1.343	2.772	0.068	0.826	0.626	0.261
YER162C	0.000	0.000	0.000	0.000	0.000	0.000	2.591	2.574	-0.934	0.483	0.592	-0.450
YER163C	0.000	0.000	0.000	0.000	0.000	0.000	-0.402	-0.504	-0.437	-0.490	-0.421	-0.047
YER164W	0.000	0.000	0.000	0.000	0.000	0.000	-0.044	0.423	0.579	0.105	0.202	0.662
YER166W	-0.379	-0.379	-0.379	-0.379	-0.379	-0.379	-0.047	-0.346	0.323	-0.065	-0.292	0.122
YER167W	0.000	0.000	0.000	0.000	0.000	0.000	-0.207	-0.247	0.009	-0.296	-0.428	-0.249
YER169W	0.000	0.000	0.000	0.000	0.000	0.000	-0.185	-0.083	0.037	-0.111	-0.021	0.254
YER170W	0.000	0.000	0.000	0.000	0.000	0.000	-0.136	-0.592	0.037	-0.157	-0.151	0.261
YER173W	0.000	0.000	0.000	0.000	0.000	0.000	0.068	0.260	0.127	-0.285	-0.156	0.130
YER174C	0.000	0.000	0.000	0.000	0.000	0.000	0.326	0.705	-0.005	0.114	0.112	0.184
YER175C	0.000	0.000	0.000	0.000	0.000	0.000	1.144	2.079	1.132	0.050	1.433	0.005
YER176W	0.000	0.000	0.000	0.000	0.000	0.000	0.704	1.979	1.082	-0.140	0.364	-0.139
YER177W	1.000	1.000	1.000	1.000	1.000	1.000	0.811	1.369	2.339	1.737	1.408	0.499
YER178W	0.000	0.000	0.000	0.000	0.000	0.000	0.318	0.414	-0.006	0.455	0.546	0.234
YER179W	0.000	0.000	0.000	0.000	0.000	0.000	0.003	-0.381	-0.425	-0.167	-0.221	-0.138
YER180C	0.000	0.000	0.000	0.000	0.000	0.000	0.187	-0.359	0.195	0.088	-0.160	0.484
YER181C	0.000	0.000	0.000	0.000	0.000	0.000	0.116	0.184	0.657	0.084	0.075	0.669
YER182W	0.000	0.000	0.000	0.000	0.000	0.000	0.046	-0.173	-0.071	-0.052	-0.218	0.037
YER183C	0.000	0.000	0.000	0.000	0.000	0.000	0.113	0.048	0.110	0.029	0.027	0.912
YER184C	0.000	0.000	0.000	0.000	0.000	0.000	0.036	-0.214	0.480	-0.008	-0.007	0.510
YER185W	0.000	0.000	0.000	0.000	0.000	0.000	-0.007	0.005	0.203	-0.197	0.302	0.007
YER186C	0.000	0.000	0.000	0.000	0.000	0.000	0.904	1.154	1.031	0.349	-0.057	0.251
YER187W	0.000	0.000	0.000	0.000	0.000	0.000	1.548	2.393	1.709	0.390	0.894	1.597
YER188W	0.000	0.000	0.000	0.000	0.000	0.000	-0.355	-0.423	-0.427	-0.043	-0.236	0.057
YFL001W	0.000	0.000	0.000	0.000	0.000	0.000	-0.018	1.533	0.517	0.092	0.637	0.388
YFL003C	0.000	0.000	0.000	0.000	0.000	0.000	-0.264	0.380	0.212	-0.118	0.229	0.137
YFL004W	0.000	0.000	0.000	0.000	0.000	0.000	-0.147	1.146	1.331	-0.035	0.225	0.186
YFL006W	0.000	0.000	0.000	0.000	0.000	0.000	-0.025	-0.932	-0.068	0.022	-0.138	0.226
YFL007W	0.000	0.000	0.000	0.000	0.000	0.000	-0.317	1.210	0.028	-0.279	-0.106	0.059
YFL010C	0.000	0.000	0.000	0.000	0.000	0.000	-0.070	-0.092	-0.016	0.065	0.062	0.090
YFL010W-A	0.000	0.000	0.000	0.000	0.000	0.000	0.395	-0.136	-0.005	0.087	0.150	-0.016
YFL011W	0.000	0.000	0.000	0.000	0.000	0.000	-0.489	-0.580	-0.411	-0.047	-0.059	0.150
YFL012W	0.000	0.000	0.000	0.000	0.000	0.000	-0.481	-0.197	-0.343	-0.139	-0.106	-0.141
YFL013C	0.000	0.000	0.000	0.000	0.000	0.000	0.226	-0.229	-0.181	0.160	0.068	0.060
YFL013W-A	0.000	0.000	0.000	0.000	0.000	0.000	-0.524	-0.191	-0.362	-0.150	-0.021	-0.100
YFL014W	0.000	0.000	0.000	0.000	0.000	0.000	-0.627	-0.243	-0.291	-0.249	-0.110	-0.216
YFL015C	0.000	0.000	0.000	0.000	0.000	0.000	-0.003	1.817	-0.036	-0.006	-0.152	-0.167
YFL016C	0.000	0.000	0.000	0.000	0.000	0.000	0.021	-0.473	-0.317	0.023	-0.218	-0.125
YFL018C	0.000	0.000	0.000	0.000	0.000	0.000	1.384	1.693	0.763	0.647	0.712	0.444
YFL019C	0.000	0.000	0.000	0.000	0.000	0.000	1.042	-0.223	-0.230	0.037	0.015	-0.086
YFL020C	0.000	0.000	0.000	0.000	0.000	0.000	-0.375	0.849	-0.040	-0.265	-0.010	-0.331
YFL021W	0.000	0.000	0.000	0.000	0.000	0.000	0.303	0.828	-0.060	0.233	1.570	-0.134
YFL023W	0.000	0.000	0.000	0.000	0.000	0.000	-0.365	0.409	-0.608	-0.034	0.163	-0.010
YFL025C	0.000	0.000	0.000	0.000	0.000	0.000	-0.717	-1.295	-1.013	-0.514	-0.770	-0.833
YFL026W	0.000	0.000	0.000	0.000	0.000	0.000	-0.513	-0.375	-0.398	0.088	-0.039	-0.107
YFL027C	0.000	0.000	0.000	0.000	0.000	0.000	-0.182	-0.532	0.239	0.115	-0.072	0.327
YFL028C	0.000	0.000	0.000	0.000	0.000	0.000	0.036	-0.296	1.153	0.307	-0.034	0.694
YFL030W	0.000	0.000	0.000	0.000	0.000	0.000	-0.109	-0.734	0.137	0.237	-0.101	0.182
YFL031W	0.000	0.000	0.000	0.000	0.000	0.000	1.326	1.132	2.552	0.414	0.405	0.791
YFL032W	0.000	0.000	0.000	0.000	0.000	0.000	0.745	0.939	1.611	0.298	1.149	0.929
YFL033C	0.000	0.000	0.000	0.000	0.000	0.000	0.559	-0.171	0.436	-0.015	0.014	0.005
YFL034C-A	0.000	0.000	0.000	0.000	0.000	0.000	0.059	1.503	0.328	0.057	0.587	2.692
YFL034W	0.000	0.000	0.000	0.000	0.000	0.000	1.289	1.905	0.575	0.472	0.884	0.360
YFL035C-B	0.000	0.000	0.000	0.000	0.000	0.000	1.097	1.589	-0.298	0.391	2.077	-0.024
YFL036W	0.000	0.000	0.000	0.000	0.000	0.000	2.273	1.506	-0.452	1.641	1.535	-0.332
YFL040W	0.000	0.000	0.000	0.000	0.000	0.000	0.443	1.007	0.301	0.451	0.170	0.403
YFL041W	0.000	0.000	0.000	0.000	0.000	0.000	2.131	1.444	-0.541	0.781	2.286	-0.055
YFL042C	0.000	0.000	0.000	0.000	0.000	0.000	1.191	1.385	1.828	0.106	-0.121	0.584
YFL043C	0.000	0.000	0.000	0.000	0.000	0.000	-0.364	-0.455	0.091	-0.193	-0.194	0.052
YFL044C	0.000	0.000	0.000	0.000	0.000	0.000	-0.524	-0.936	-0.405	-0.032	-0.114	-0.054
YFL046W	0.000	0.000	0.000	0.000	0.000	0.000	-0.210	-0.193	-0.002	-0.023	0.181	0.086
YFL047W	0.000	0.000	0.000	0.000	0.000	0.000	-0.459	-0.193	-0.178	-0.055	0.180	-0.037
YFL048C	0.000	0.000	0.000	0.000	0.000	0.000	-0.058	-0.362	0.126	0.159	0.083	0.161
YFL049W	0.000	0.000	0.000	0.000	0.000	0.000	0.122	-0.209	1.387	0.121	-0.019	0.269
YFL050C	0.000	0.000	0.000	0.000	0.000	0.000	-0.141	-0.194	0.143	0.065	-0.004	0.168
YFL051C	0.000	0.000	0.000	0.000	0.000	0.000	0.068	0.100	-0.339	0.363	0.123	-0.002
YFL052W	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.102	-0.339	0.086	-0.013	-0.069
YFL053W	0.000	0.000	0.000	0.000	0.000	0.000	0.105	-0.003	-0.289	-0.014	-0.089	0.020
YFL054C	0.000	0.000	0.000	0.000	0.000	0.000	0.064	0.020	-0.279	0.007	0.200	-0.136
YFL055W	0.000	0.000	0.000	0.000	0.000	0.000	-0.242	-0.128	-0.352	0.052	-0.090	-0.092
YFL056C	0.000	0.000	0.000	0.000	0.000	0.000	0.172	0.028	-0.135	0.073	-0.020	-0.109
YFL063W	0.000	0.000	0.000	0.000	0.000	0.000	-0.109	-0.217	-1.682	0.021	-0.096	-0.400
YFR001W	0.000	0.000	0.000	0.000	0.000	0.000	-0.085	-0.333	0.066	-0.250	-0.232	-0.177
YFR006W	0.000	0.000	0.000	0.000	0.000	0.000	0.357	-0.049	-0.124	0.168	-0.025	-0.106
YFR007W	0.000	0.000	0.000	0.000	0.000	0.000	-0.182	-0.130	-0.283	-0.033	-0.007	0.006
YFR008W	0.000	0.000	0.000	0.000	0.000	0.000	-0.031	-0.077	-0.393	-0.092	-0.091	-0.148
YFR009W	0.000	0.000	0.000	0.000	0.000	0.000	0.186	0.030	-0.059	0.014	-0.040	-0.140
YFR010W	0.000	0.000	0.000	0.000	0.000	0.000	0.428	0.545	1.209	0.447	0.497	0.424
YFR011C	0.000	0.000	0.000	0.000	0.000	0.000	0.064	-0.002	0.036	0.106	0.174	0.253
YFR012W	0.000	0.000	0.000	0.000	0.000	0.000	-0.084	-0.024	-0.489	0.015	0.054	-0.241
YFR013W	0.000	0.000	0.000	0.000	0.000	0.000	0.249	0.105	0.656	0.360	0.265	0.365
YFR014C	0.000	0.000	0.000	0.000	0.000	0.000	-0.049	0.096	0.142	-0.010	-0.027	0.359
YFR015C	0.000	0.000	0.000	0.000	0.000	0.000	0.100	0.078	0.185	-0.018	-0.019	0.292
YFR016C	0.000	0.000	0.000	0.000	0.000	0.000	0.098	0.008	-0.032	-0.009	0.018	0.056
YFR017C	0.000	0.000	0.000	0.000	0.000	0.000	0.042	0.370	-0.031	0.041	0.213	0.380
YFR018C	0.000	0.000	0.000	0.000	0.000	0.000	0.181	0.139	0.359	0.078	0.082	0.492
YFR019W	2.485	2.485	2.485	2.485	2.485	2.485	2.354	1.669	1.937	0.196	0.212	0.317
YFR020W	0.000	0.000	0.000	0.000	0.000	0.000	-0.133	-0.097	0.034	-0.187	-0.080	0.344
YFR021W	0.000	0.000	0.000	0.000	0.000	0.000	-0.064	-0.075	-0.059	-0.019	0.008	0.024
YFR022W	0.000	0.000	0.000	0.000	0.000	0.000	-0.272	-0.036	-0.544	-0.143	-0.128	-0.341
YFR023W	0.000	0.000	0.000	0.000	0.000	0.000	0.111	0.052	-0.144	0.036	0.163	0.089
YFR024C	0.000	0.000	0.000	0.000	0.000	0.000	0.202	0.200	1.875	0.266	0.057	0.320
YFR024C-A	0.000	0.000	0.000	0.000	0.000	0.000	-0.088	-0.123	-0.451	-0.112	-0.043	-0.136
YFR025C	0.000	0.000	0.000	0.000	0.000	0.000	0.976	1.314	1.688	0.013	1.251	0.193
YFR026C	0.000	0.000	0.000	0.000	0.000	0.000	-0.234	0.023	-0.690	-0.060	-0.008	-0.200
YFR030W	0.678	0.678	0.678	0.678	0.678	0.678	1.776	1.011	2.242	0.480	0.491	0.618
YFR031C-A	0.000	0.000	0.000	0.000	0.000	0.000	-0.209	0.971	-0.118	-0.187	-0.245	-0.155
YFR032C	0.000	0.000	0.000	0.000	0.000	0.000	2.213	2.346	0.499	1.060	1.257	1.911
YFR032C-A	-0.585	-0.585	-0.585	-0.585	-0.585	-0.585	0.382	2.724	1.096	0.850	2.100	1.801
YFR033C	0.000	0.000	0.000	0.000	0.000	0.000	-0.539	-1.055	-1.990	-0.317	-0.671	-0.426
YFR034C	0.000	0.000	0.000	0.000	0.000	0.000	-0.013	0.094	-0.055	-0.028	0.032	0.057
YFR035C	0.000	0.000	0.000	0.000	0.000	0.000	-0.186	0.052	0.387	-0.127	-0.036	0.349
YFR036W	0.000	0.000	0.000	0.000	0.000	0.000	0.350	0.239	0.717	0.093	0.072	0.187
YFR038W	0.000	0.000	0.000	0.000	0.000	0.000	0.498	0.436	0.035	-0.052	0.154	0.244
YFR039C	0.000	0.000	0.000	0.000	0.000	0.000	0.103	-0.333	0.253	-0.012	0.170	-0.077
YFR040W	0.000	0.000	0.000	0.000	0.000	0.000	-0.424	-0.876	-0.091	-0.099	-0.076	0.136
YFR041C	0.000	0.000	0.000	0.000	0.000	0.000	-0.306	-0.348	-0.486	-0.158	-0.088	-0.120
YFR043C	0.000	0.000	0.000	0.000	0.000	0.000	-0.453	-0.085	-1.372	-0.242	-0.134	-0.337
YFR044C	0.000	0.000	0.000	0.000	0.000	0.000	2.083	0.154	0.024	0.216	-0.091	0.010
YFR045W	0.000	0.000	0.000	0.000	0.000	0.000	0.512	1.647	0.469	-0.113	0.344	1.388
YFR046C	0.000	0.000	0.000	0.000	0.000	0.000	1.145	2.529	0.682	-0.090	1.568	1.022
YFR047C	0.000	0.000	0.000	0.000	0.000	0.000	-0.392	0.290	-1.413	0.197	0.155	2.120
YFR048W	0.000	0.000	0.000	0.000	0.000	0.000	0.701	2.537	0.359	-0.115	1.758	2.506
YFR049W	0.000	0.000	0.000	0.000	0.000	0.000	-0.074	0.157	0.479	-0.168	0.001	-0.138
YFR053C	0.000	0.000	0.000	0.000	0.000	0.000	-0.259	0.002	-1.423	-0.287	-0.172	-0.198
YFR054C	0.000	0.000	0.000	0.000	0.000	0.000	1.237	1.355	-0.054	-0.030	0.055	-0.070
YFR055W	0.000	0.000	0.000	0.000	0.000	0.000	-0.022	0.145	0.077	0.078	0.264	0.131
YFR056C	0.000	0.000	0.000	0.000	0.000	0.000	-0.493	-0.523	-0.822	-0.258	-0.232	-0.211
YFR057W	0.000	0.000	0.000	0.000	0.000	0.000	0.091	-1.115	-1.888	0.207	-0.512	-0.383
YGL002W	0.000	0.000	0.000	0.000	0.000	0.000	-0.392	-0.027	-0.629	-0.560	-0.353	-0.567
YGL003C	0.000	0.000	0.000	0.000	0.000	0.000	-2.321	-2.099	0.245	-0.229	-0.859	-0.360
YGL004C	0.000	0.000	0.000	0.000	0.000	0.000	-0.802	-0.456	-0.115	0.811	-0.251	-0.072
YGL005C	0.000	0.000	0.000	0.000	0.000	0.000	-2.812	-0.194	0.016	-1.038	-0.378	0.590
YGL006W	0.000	0.000	0.000	0.000	0.000	0.000	-0.442	0.616	0.425	-0.085	0.273	-0.103
YGL007W	0.000	0.000	0.000	0.000	0.000	0.000	-2.297	-1.261	0.312	-0.049	-0.304	0.315
YGL009C	0.000	0.000	0.000	0.000	0.000	0.000	0.107	-0.072	0.531	0.283	0.221	-0.203
YGL010W	-0.138	-0.138	-0.138	-0.138	-0.138	-0.138	0.095	0.378	0.175	0.281	0.394	-0.112
YGL012W	1.485	1.485	1.485	1.485	1.485	1.485	-1.346	0.545	-0.512	-0.275	-0.129	-0.299
YGL013C	0.000	0.000	0.000	0.000	0.000	0.000	-0.152	0.573	0.585	0.140	0.044	-0.054
YGL014W	0.000	0.000	0.000	0.000	0.000	0.000	0.245	1.153	0.024	0.125	0.053	0.018
YGL015C	0.000	0.000	0.000	0.000	0.000	0.000	-1.047	-0.460	0.369	-0.285	-0.030	0.098
YGL016W	0.000	0.000	0.000	0.000	0.000	0.000	-1.754	0.052	-1.928	-0.510	-0.145	0.131
YGL017W	0.000	0.000	0.000	0.000	0.000	0.000	-0.602	-0.770	-0.237	-0.670	-0.451	-0.597
YGL019W	0.000	0.000	0.000	0.000	0.000	0.000	-0.539	2.640	1.369	-0.168	0.217	1.101
YGL020C	0.000	0.000	0.000	0.000	0.000	0.000	-0.881	-0.876	1.889	0.567	0.140	1.487
YGL021W	0.000	0.000	0.000	0.000	0.000	0.000	-1.127	0.220	-2.136	-0.266	0.130	0.225
YGL023C	0.000	0.000	0.000	0.000	0.000	0.000	-0.395	-0.285	-0.760	-0.156	-0.196	-0.218
YGL024W	0.000	0.000	0.000	0.000	0.000	0.000	-2.210	-1.459	-1.990	0.073	-0.313	0.075
YGL025C	1.963	1.963	1.963	1.963	1.963	1.963	-1.304	0.044	-1.486	0.188	-0.057	-0.452
YGL026C	0.000	0.000	0.000	0.000	0.000	0.000	-0.052	-0.033	-0.874	0.161	-0.005	-0.186
YGL027C	0.000	0.000	0.000	0.000	0.000	0.000	0.505	0.811	-0.101	0.377	0.545	0.373
YGL028C	0.000	0.000	0.000	0.000	0.000	0.000	0.236	-0.173	-0.026	0.140	-0.018	0.037
YGL029W	0.000	0.000	0.000	0.000	0.000	0.000	-0.952	-0.938	-0.737	-0.193	-0.357	-0.263
YGL031C	-0.485	-0.485	-0.485	-0.485	-0.485	-0.485	-0.685	0.162	-1.141	-0.377	-0.454	-0.591
YGL032C	0.000	0.000	0.000	0.000	0.000	0.000	-2.291	1.152	-1.972	-0.064	0.534	-0.468
YGL033W	0.000	0.000	0.000	0.000	0.000	0.000	-2.284	0.686	0.245	0.382	0.419	-0.413
YGL034C	0.000	0.000	0.000	0.000	0.000	0.000	-3.146	-0.962	-2.157	-0.670	-0.320	-0.595
YGL035C	0.000	0.000	0.000	0.000	0.000	0.000	-1.599	-1.215	-0.450	-0.067	-0.467	-0.218
YGL036W	0.000	0.000	0.000	0.000	0.000	0.000	-0.085	-0.087	0.510	-0.003	0.047	0.060
YGL037C	0.000	0.000	0.000	0.000	0.000	0.000	0.356	0.236	-0.715	0.133	0.277	0.090
YGL038C	0.000	0.000	0.000	0.000	0.000	0.000	NaN	NaN	NaN	-0.819	-0.716	-0.993
YGL039W	0.000	0.000	0.000	0.000	0.000	0.000	0.181	0.945	0.054	-0.304	0.239	-0.268
YGL041C	0.000	0.000	0.000	0.000	0.000	0.000	0.076	-0.304	-0.453	0.259	-0.352	-0.104
YGL042C	0.000	0.000	0.000	0.000	0.000	0.000	0.183	-0.074	-0.670	0.245	-0.080	0.154
YGL043W	-0.379	-0.379	-0.379	-0.379	-0.379	-0.379	-1.353	0.210	-1.110	-0.009	0.298	-0.280
YGL045W	0.000	0.000	0.000	0.000	0.000	0.000	-0.610	-0.370	-0.484	0.173	-0.131	-0.379
YGL046W	0.000	0.000	0.000	0.000	0.000	0.000	-0.831	-0.348	-0.348	-0.482	0.317	0.017
YGL049C	0.000	0.000	0.000	0.000	0.000	0.000	-2.002	-0.055	-0.934	-0.644	-0.079	0.004
YGL050W	0.000	0.000	0.000	0.000	0.000	0.000	-0.460	-0.334	2.245	0.184	-0.252	-0.309
YGL051W	0.000	0.000	0.000	0.000	0.000	0.000	-0.867	-0.632	-1.712	-0.220	-0.196	0.263
YGL053W	0.000	0.000	0.000	0.000	0.000	0.000	0.198	-0.700	-1.792	-0.111	-0.330	0.032
YGL054C	0.000	0.000	0.000	0.000	0.000	0.000	0.266	-0.691	-0.695	-0.045	-0.399	-0.108
YGL056C	0.000	0.000	0.000	0.000	0.000	0.000	0.658	-0.078	-0.397	0.351	0.326	-0.026
YGL057C	0.000	0.000	0.000	0.000	0.000	0.000	0.609	0.000	-0.528	0.136	0.119	-0.083
YGL058W	1.766	1.766	1.766	1.766	1.766	1.766	-0.511	0.172	2.395	1.390	1.271	1.110
YGL059W	0.000	0.000	0.000	0.000	0.000	0.000	0.535	-0.179	0.300	0.062	0.039	0.236
YGL060W	0.000	0.000	0.000	0.000	0.000	0.000	0.926	1.446	0.773	0.421	0.882	0.839
YGL062W	0.000	0.000	0.000	0.000	0.000	0.000	-1.474	0.065	-0.110	-0.534	-0.109	-0.238
YGL063W	0.000	0.000	0.000	0.000	0.000	0.000	-1.135	-0.201	-0.071	-0.613	-0.305	0.072
YGL064C	0.000	0.000	0.000	0.000	0.000	0.000	-1.972	-0.109	0.024	-0.491	-0.167	-0.114
YGL066W	1.000	1.000	1.000	1.000	1.000	1.000	-2.020	0.584	0.122	0.038	0.271	0.409
YGL067W	0.000	0.000	0.000	0.000	0.000	0.000	-1.063	0.258	-0.304	-0.264	0.056	0.170
YGL070C	3.217	3.217	3.217	3.217	3.217	3.217	-1.263	-1.084	-0.974	0.295	2.026	-2.002
YGL071W	0.000	0.000	0.000	0.000	0.000	0.000	-2.178	0.555	0.172	0.451	1.247	1.956
YGL072C	0.000	0.000	0.000	0.000	0.000	0.000	-1.324	0.080	-0.026	0.207	0.148	0.745
YGL076C	0.000	0.000	0.000	0.000	0.000	0.000	-2.337	0.026	-0.423	-0.283	-0.021	0.063
YGL077C	0.000	0.000	0.000	0.000	0.000	0.000	-0.753	0.109	-0.180	0.252	-0.008	0.204
YGL078C	0.000	0.000	0.000	0.000	0.000	0.000	0.027	-0.008	-0.261	0.164	0.012	0.111
YGL079W	0.000	0.000	0.000	0.000	0.000	0.000	-0.998	-0.102	-0.575	-0.412	-0.172	-0.214
YGL080W	0.000	0.000	0.000	0.000	0.000	0.000	0.323	0.031	-0.428	-0.022	-0.032	-0.129
YGL081W	0.000	0.000	0.000	0.000	0.000	0.000	-0.911	-0.179	-0.572	-0.107	-0.046	0.003
YGL082W	0.000	0.000	0.000	0.000	0.000	0.000	0.179	-0.015	-1.391	0.502	0.036	0.098
YGL083W	0.000	0.000	0.000	0.000	0.000	0.000	-0.040	-0.311	-1.419	0.476	0.024	0.021
YGL084C	0.000	0.000	0.000	0.000	0.000	0.000	-0.120	0.590	0.380	1.621	0.633	0.469
YGL085W	0.000	0.000	0.000	0.000	0.000	0.000	-0.074	-0.148	0.071	0.102	0.013	0.195
YGL086W	0.000	0.000	0.000	0.000	0.000	0.000	-0.904	-0.343	-1.375	-0.061	-0.003	-0.101
YGL087C	0.000	0.000	0.000	0.000	0.000	0.000	-0.223	-0.308	-0.299	-0.223	-0.097	0.122
YGL088W	0.000	0.000	0.000	0.000	0.000	0.000	-0.127	-0.189	0.367	-0.039	0.040	0.085
